Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.30000000000000004,0.0001,64,60,1,100,relu,0.039356369509873874,4.8138319535808325,0.6325494466450404,60.42553191489362,1.0425030773223134
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.4,0.0005,32,60,1,100,leaky_relu,0.1209024645539604,19.320244032779733,-2.467681125887429,4.25531914893617,0.7225562361551
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.2,0.0005,64,60,1,100,relu,0.047482012508774235,6.19366392014207,0.4651560555317368,46.38297872340426,0.7599445887349118
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.5,0.001,32,60,1,50,relu,0.13090994832666641,21.104527964722454,-3.065501725637339,1.702127659574468,0.7225562361551
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.2,0.0005,32,60,1,100,leaky_relu,0.0681441795350137,9.463706401221907,-0.10160622339046754,28.936170212765955,0.8709208893181017
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.30000000000000004,0.0005,32,60,1,50,leaky_relu,0.10018121949001346,15.619239452648062,-1.3809017533296988,8.936170212765958,0.7502528234520193
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.5,0.0001,64,60,1,50,leaky_relu,0.06906433038786214,9.678803722694054,-0.13155705792174888,28.510638297872344,0.8531099765532737
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.4,0.0005,64,60,1,100,leaky_relu,0.06714695627274198,8.573375822839974,-0.06960028311784239,35.74468085106383,0.9883676449932165
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.30000000000000004,0.0005,64,60,1,50,leaky_relu,0.08661239461641822,11.390152853768495,-0.7796268057737361,23.829787234042556,0.7215861677441361
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.2,0.0001,32,60,1,150,leaky_relu,0.05658730402721442,7.811550843979647,0.24036169895269643,37.4468085106383,0.77595413761943
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.30000000000000004,0.0001,64,60,1,150,relu,0.03547471240389837,4.2669716348178595,0.7014571919264831,65.95744680851064,1.064860369519699
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.30000000000000004,0.0001,64,60,1,150,relu,0.033702108571480316,4.217172725064284,0.7305470184204396,65.53191489361701,1.0129378121911898
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.30000000000000004,0.0001,64,60,1,150,relu,0.03442903769551219,4.31383707680313,0.7187978640056571,70.63829787234043,0.9802696696000379
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.0001,64,60,1,150,relu,0.03461137028811956,4.317024828470621,0.7158115429024001,64.68085106382979,1.0407141552643189
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.30000000000000004,0.001,64,60,1,150,relu,0.03400591440924012,4.061683309792148,0.7256671839041136,68.51063829787233,0.9095867728573287
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.001,64,60,1,150,relu,0.045677542294026804,5.742396690405669,0.5050352125214852,53.61702127659574,0.9490880920670357
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.2,0.001,64,60,1,150,relu,0.04936202916896628,5.7664695325855035,0.4219640419830989,60.42553191489362,0.9210120763886481
