Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.30000000000000004,0.0001,64,60,1,50,tanh,0.04682168435671356,5.396138239367977,0.9016776681224546,57.56302521008403,0.8796838619274786
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.0001,64,60,1,150,tanh,0.03347208060879156,4.01544920143375,0.9497514514255302,69.74789915966386,1.4791385357579239
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0005,64,60,1,100,tanh,0.030837727491092686,3.7538200577480354,0.9573496266843711,73.52941176470588,1.2306595276825858
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.30000000000000004,0.0005,16,60,1,50,relu,0.029310556070443985,3.5261573143088443,0.9614693602585138,77.31092436974791,1.3309535301109086
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.001,16,60,1,100,tanh,0.02661195968402224,2.9904010733310304,0.9682377091787849,81.9327731092437,0.8369072613860707
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6000000000000001,0.001,32,60,1,150,relu,0.027754392902599994,3.3366462661770733,0.9654521068027526,78.57142857142857,1.396444343820695
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.30000000000000004,0.0005,16,60,1,150,sigmoid,0.036937143056370615,4.648710317772487,0.9388094006453194,63.02521008403361,1.295553968295852
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.001,32,60,1,100,tanh,0.025609738183116255,2.781869528890899,0.9705850319268278,84.87394957983193,1.2345199936463829
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6000000000000001,0.0005,16,60,1,150,sigmoid,0.03522629111719048,4.368104861722362,0.9443465689363321,67.64705882352942,1.1514855439667597
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.001,16,60,1,50,tanh,0.026960191955664722,3.116926454667812,0.9674010160361511,80.67226890756302,1.1931320843409225
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,32,60,1,100,relu,0.030294100921441212,3.693248858816309,0.9588401067238221,73.10924369747899,0.858712397727475
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.001,32,60,1,100,tanh,0.025531713609112546,2.749834966603308,0.9707639946431615,85.71428571428571,1.1187956756280013
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,32,60,1,100,tanh,0.025793401045496978,2.7935487180905416,0.9701616141425011,85.71428571428571,0.99961768040627
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,32,60,1,100,tanh,0.026804783186086763,2.9830945894396774,0.9677757586447313,83.61344537815127,0.734494396786582
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.001,32,60,1,100,tanh,0.026279808474610703,2.8665461022326455,0.9690256290037511,84.45378151260505,0.910427236164381
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,32,60,1,100,sigmoid,0.043056549157960984,5.327166341991834,0.9168549223144202,48.319327731092436,0.820106620558987
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0001,32,60,1,100,tanh,0.03323931677552111,4.112843465966728,0.9504478752868591,68.4873949579832,1.2600809302275702
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6000000000000001,0.001,32,60,1,100,tanh,0.025839039757952383,2.894294293615914,0.9700559289497609,85.29411764705883,1.0470856071172294
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.001,32,60,1,100,sigmoid,0.03682424050725003,4.648406561050102,0.939182900903286,63.4453781512605,0.9910743242485139
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0001,32,60,1,50,relu,0.03680346041565109,4.492335275415432,0.9392515202851246,63.4453781512605,1.661850131517265
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.001,64,60,1,100,tanh,0.030809378879561145,3.766336776678984,0.9574280062032298,73.52941176470588,0.9323617959207464
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,32,60,1,100,tanh,0.02882209579597692,3.3054399749340693,0.9627428852978277,80.67226890756302,0.549871856486093
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,32,60,1,100,tanh,0.026871751436288876,2.9869235941012104,0.9676145413885004,82.77310924369748,0.8178603912049671
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.001,32,60,1,100,tanh,0.028455798630468383,3.078811923053818,0.9636838616448891,82.77310924369748,1.044824087204871
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6000000000000001,0.001,32,60,1,100,tanh,0.02562898491514628,2.8097953955860495,0.9705408022870562,85.29411764705883,1.232779839155621
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6000000000000001,0.0001,64,60,30,100,relu,0.1070695977300046,11.937704303755492,0.4316197873475224,28.936170212765955,1.165193492685871
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.0005,64,60,30,50,sigmoid,0.10934541632505583,11.83136887849288,0.4072005758157281,32.76595744680851,1.014805165870673
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6000000000000001,0.0001,64,60,30,50,tanh,0.10711866987574899,11.550146680668098,0.43109866783510364,31.06382978723404,1.2043498491638023
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,16,60,30,100,tanh,0.10635309282959532,12.992969395918234,0.4392014832972344,26.80851063829787,0.9850764784939644
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,64,60,30,100,relu,0.10602905131778223,12.641577861147507,0.4426136108594957,28.510638297872344,0.9469215034988845
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6000000000000001,0.0001,32,60,30,100,sigmoid,0.10812270540519625,11.610428997779497,0.4203839325050427,34.46808510638298,1.3057419869020124
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,16,60,30,150,sigmoid,0.10537473564074978,13.093828282287994,0.4494717563921613,31.06382978723404,0.9401134174156596
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,16,60,30,100,relu,0.10611599830370506,12.872036703550876,0.44169908910327993,26.382978723404253,0.9850764784939644
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,32,60,30,50,tanh,0.10707599042679294,12.769494099571288,0.43155191390992,22.5531914893617,1.1274180730691077
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.0001,64,60,30,150,sigmoid,0.11245276959614435,11.912235725701557,0.373029769375247,32.340425531914896,1.096944483953688
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.30000000000000004,0.001,16,60,30,150,sigmoid,0.13846064882200443,20.62742661080201,0.04948421624289012,14.042553191489363,0.7707687426600138
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,relu,0.10416631524831901,12.081818500748035,0.462026093073165,27.659574468085108,0.9824789714432578
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,relu,0.10823954428560138,12.882760169488092,0.4191305735064411,17.4468085106383,0.9185918633810742
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,relu,0.10567626720082977,12.359912149010887,0.44631655704801876,23.829787234042556,1.037716275572692
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,16,60,30,150,sigmoid,0.13643209627236677,20.148704682524926,0.07713173420968833,15.74468085106383,0.7705410248605975
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,sigmoid,0.13457167467746914,19.87250933412956,0.10212904640167264,15.319148936170212,0.7705410248605975
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.30000000000000004,0.001,32,60,30,150,relu,0.10314462503372995,11.797348361705467,0.47252751392505254,27.23404255319149,0.7422142867923173
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0005,32,60,30,150,relu,0.10755584134519931,11.375867616499287,0.42644560516018915,30.21276595744681,0.9983958477656047
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.30000000000000004,0.001,32,60,30,150,relu,0.10821386854770443,13.271139654767298,0.4194061194231288,29.361702127659573,0.9291435998170559
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.30000000000000004,0.0005,32,60,30,150,relu,0.10586716355478874,11.426299989534302,0.44431437397617024,31.06382978723404,0.7996502374973201
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.001,32,60,30,50,relu,0.10578960539887336,12.709431029872793,0.4451282649735785,24.25531914893617,1.1562680162761265
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,relu,0.1048283325713746,12.2131408400834,0.4551662982470188,21.70212765957447,1.0051817967676384
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,relu,0.10520585401678047,12.669706644100096,0.45123497979757954,20.851063829787233,1.020839486256024
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.30000000000000004,0.001,16,60,30,150,relu,0.10588534899633446,12.181409988109891,0.44412345063294867,25.53191489361702,1.2494629841349445
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,32,60,30,150,relu,0.11082257292636716,11.803756798082324,0.39107603618736453,22.127659574468083,1.011970272298686
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,32,60,1,50,tanh,0.02870507002923234,3.278443675955256,0.9630448196852464,80.25210084033614,1.0424249150452876
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,100,relu,0.028645269085270587,3.1719407185283703,0.9631986359050441,80.25210084033614,1.2608696658762275
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.2,0.0001,32,60,1,50,relu,0.03432446439345597,3.8752510904211857,0.9471596552434299,73.10924369747899,1.4947471895786018
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.0001,64,60,1,150,relu,0.03250710393648377,3.8371779719231967,0.9526069494404835,71.84873949579831,1.532613306694621
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,16,60,1,100,sigmoid,0.06766375191905097,9.245389100632586,0.794661561418508,40.33613445378151,0.8080106402735402
